L0006.SH.GE.Epi.ITS1.3	L0006.SH.GE.Epi.ITS1.4	L0006.SH.PU.Endo.ITS1.4	L0006.SH.SD.Soil.ITS1.1	L0006.SH.CAS8.Root.ITS1.3	L0006.SH.GE.Soil.ITS1.2	L0006.SH.GE.Epi.ITS1.2	L0006.SH.PU.Endo.ITS1.3	L0006.SH.PU.Endo.ITS1.2	L0006.SH.PU.Epi.ITS1.4	L0006.SH.GE.Soil.ITS1.1	L0006.SH.SD.Endo.ITS1.3	L0006.SH.PU.Soil.ITS1.3	L0006.SH.SD.Soil.ITS1.3	L0006.SH.CAS9.Soil.ITS1.3	L0006.SH.GE.Endo.ITS1.3	L0006.SH.SD.Endo.ITS1.4	L0006.SH.CAS8.Soil.ITS1.1	L0006.SH.SD.Epi.ITS1.2	L0006.SH.SD.Endo.ITS1.1	L0006.SH.GE.Soil.ITS1.4	L0006.SH.CAS9.Soil.ITS1.1	L0006.SH.SD.Soil.ITS1.4	L0006.SH.GE.Endo.ITS1.4	L0006.SH.SD.Soil.ITS1.2	L0006.SH.GE.Endo.ITS1.1	L0006.SH.SD.Epi.ITS1.4	L0006.SH.PU.Endo.ITS1.1	L0006.SH.CAS9.Root.ITS1.2	L0006.SH.SD.Epi.ITS1.3	L0006.SH.CAS9.Soil.ITS1.2	L0006.SH.GE.Soil.ITS1.3	L0006.SH.PU.Soil.ITS1.4	L0006.SH.CAS8.Soil.ITS1.3	L0006.SH.PU.Epi.ITS1.3	L0006.SH.CAS9.Root.ITS1.1	L0006.SH.PU.Soil.ITS1.1	L0006.SH.GE.Endo.ITS1.2	L0006.SH.PU.Epi.ITS1.1	L0006.SH.SD.Epi.ITS1.1	L0006.SH.PU.Soil.ITS1.2	L0006.SH.SD.Endo.ITS1.2	L0006.SH.CAS8.Soil.ITS1.2	L0006.SH.CAS9.Root.ITS1.3	L0006.SH.PU.Epi.ITS1.2	L0006.SH.GE.Epi.ITS1.1	L0006.SH.CAS8.Root.ITS1.2	L0006.SH.CAS8.Root.ITS1.1
OTU_582	0	0	0	0	0	14	0	0	0	0	10	0	77	0	13	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	9	6	15	0	0	0	185	0	0	0	48	0	0	0	0	0	0	0
OTU_76	173	69	1747	90	0	2	41	108	104	184	2	25	197	29	0	11	414	0	11	94	55	0	186	53	24	2	80	65	0	12	2	4	770	0	40	0	134	47	147	44	1384	155	0	0	140	0	0	0
OTU_193	16	115	0	0	0	0	0	0	0	0	1	0	0	0	0	130	0	0	0	0	245	0	0	1021	0	7	0	0	0	0	0	572	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_449	17	105	1	28	0	6	91	0	0	12	4	3	5	25	0	0	0	0	38	2	4	0	10	4	19	0	30	0	0	113	0	0	5	0	43	0	18	0	37	320	2	7	0	0	15	16	0	0
OTU_164	710	490	9	1	0	70	351	0	58	29	6	13	12	22	0	139	3	0	19	0	17	0	438	61	12	0	56	0	0	46	0	38	14	0	9	0	20	22	0	13	13	3	0	0	24	79	0	0
OTU_196	17	261	39	6	0	24	37	18	18	7	27	39	5	6	0	111	43	0	2	18	35	0	3	702	7	326	1	0	0	4	0	12	5	0	4	0	32	30	0	3	9	76	0	0	7	28	0	0
OTU_475	0	0	0	3	0	41	0	0	0	1	23	2	8	7	100	0	0	38	2	0	35	58	5	0	5	0	1	0	0	2	55	32	15	15	0	0	6	1	0	1	38	0	113	0	0	0	0	0
OTU_297	113	1	0	0	0	0	21	0	0	0	0	0	0	0	0	5	0	0	7	0	10	0	0	0	28	0	0	0	0	0	0	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2753	38	289	27	0	0	92	135	461	91	7	11	7	7	1	26	1417	0	0	2	5	60	10	0	2987	0	69	0	980	0	0	0	130	22	0	37	0	7	646	122	4	75	35	1	0	58	2	0	0
OTU_159	3	0	0	0	142	0	0	0	0	0	0	0	0	0	0	518	0	0	0	0	0	1	0	0	0	0	0	0	361	0	0	0	0	0	0	358	0	0	0	0	0	0	0	163	0	0	904	63
OTU_4490	7	0	0	683	0	0	0	0	0	0	0	0	0	51	0	0	5	0	79	194	0	0	230	0	188	0	3	0	0	0	0	0	15	0	0	0	54	0	0	103	0	0	0	0	0	0	0	0
OTU_4083	0	0	0	12	0	0	0	0	0	0	0	1883	0	227	0	0	178	0	61	4	0	0	196	0	154	0	92	0	0	279	0	0	0	0	0	0	0	0	0	3	0	174	0	0	0	0	0	0
OTU_687	40	3	0	0	0	13	93	0	0	59	0	0	0	0	0	113	0	0	1	0	51	0	0	116	3	0	0	0	0	0	0	54	5	0	0	0	3	0	1	0	4	0	0	0	0	0	0	0
OTU_1333	0	0	0	508	0	0	0	1	0	1	0	122	0	807	0	0	161	0	59	124	0	0	742	0	814	0	88	0	0	124	0	0	0	0	0	0	0	0	0	127	0	133	0	0	0	0	0	0
OTU_543	0	0	0	0	0	422	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_141	4	21	483	0	0	107	14	157	1740	305	10	0	37	4	64	9	161	0	0	21	39	7	6	68	0	12	12	89	0	0	7	28	148	1	38	0	67	3	46	1	83	0	36	7	165	0	0	0
OTU_351	0	0	0	30	0	13	0	0	0	0	17	1	19	18	6	0	0	0	14	5	17	5	11	0	24	0	0	0	0	9	8	2	563	0	3	0	22	0	0	7	12	0	16	0	0	0	0	0
OTU_440	0	16	32	33	0	61	7	4	0	5	28	3	43	50	2	0	84	0	0	40	47	0	152	32	47	0	14	0	0	2	7	27	204	0	17	0	49	15	3	10	3	13	0	0	5	0	0	0
OTU_306	1	3	0	4	0	8	44	0	0	9	21	0	112	20	25	0	0	0	4	6	80	34	20	0	89	0	0	0	0	7	3	0	351	99	4	0	0	0	0	0	8	0	0	0	7	14	0	0
OTU_703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_466	4	0	0	0	0	514	9	0	0	4	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	25	0	5	0	20	0	0	0	6	0	0	0
OTU_551	0	0	0	0	0	3	0	0	0	3	1	0	13	8	0	0	0	0	0	1	5	0	11	0	0	0	2	0	0	0	0	15	397	0	0	0	92	0	0	0	7	0	0	0	0	0	0	0
