L0006.SH.GE.Epi.ITS1.3	L0006.SH.GE.Epi.ITS1.4	L0006.SH.PU.Endo.ITS1.4	L0006.SH.SD.Soil.ITS1.1	L0006.SH.CAS8.Root.ITS1.3	L0006.SH.GE.Soil.ITS1.2	L0006.SH.GE.Epi.ITS1.2	L0006.SH.PU.Endo.ITS1.3	L0006.SH.PU.Endo.ITS1.2	L0006.SH.PU.Epi.ITS1.4	L0006.SH.GE.Soil.ITS1.1	L0006.SH.SD.Endo.ITS1.3	L0006.SH.PU.Soil.ITS1.3	L0006.SH.SD.Soil.ITS1.3	L0006.SH.CAS9.Soil.ITS1.3	L0006.SH.GE.Endo.ITS1.3	L0006.SH.SD.Endo.ITS1.4	L0006.SH.CAS8.Soil.ITS1.1	L0006.SH.SD.Epi.ITS1.2	L0006.SH.SD.Endo.ITS1.1	L0006.SH.GE.Soil.ITS1.4	L0006.SH.CAS9.Soil.ITS1.1	L0006.SH.SD.Soil.ITS1.4	L0006.SH.GE.Endo.ITS1.4	L0006.SH.SD.Soil.ITS1.2	L0006.SH.GE.Endo.ITS1.1	L0006.SH.SD.Epi.ITS1.4	L0006.SH.PU.Endo.ITS1.1	L0006.SH.CAS9.Root.ITS1.2	L0006.SH.SD.Epi.ITS1.3	L0006.SH.CAS9.Soil.ITS1.2	L0006.SH.GE.Soil.ITS1.3	L0006.SH.PU.Soil.ITS1.4	L0006.SH.CAS8.Soil.ITS1.3	L0006.SH.PU.Epi.ITS1.3	L0006.SH.CAS9.Root.ITS1.1	L0006.SH.PU.Soil.ITS1.1	L0006.SH.GE.Endo.ITS1.2	L0006.SH.PU.Epi.ITS1.1	L0006.SH.SD.Epi.ITS1.1	L0006.SH.PU.Soil.ITS1.2	L0006.SH.SD.Endo.ITS1.2	L0006.SH.CAS8.Soil.ITS1.2	L0006.SH.CAS9.Root.ITS1.3	L0006.SH.PU.Epi.ITS1.2	L0006.SH.GE.Epi.ITS1.1	L0006.SH.CAS8.Root.ITS1.2	L0006.SH.CAS8.Root.ITS1.1
OTU_259	0	0	0	1	0	30	0	0	0	6	5	0	12	0	532	0	1	9	0	0	9	309	3	0	0	0	0	0	0	0	145	6	83	22	0	0	15	0	0	1	76	0	42	0	111	0	0	0
OTU_326	0	0	0	0	22	0	0	0	0	0	0	4	0	0	0	0	8	0	3	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	3	0	839	0	0	0	0
OTU_410	0	0	0	0	0	2	0	0	0	0	0	0	0	0	82	1	0	1	0	0	2	41	0	0	1	0	0	0	147	0	35	4	0	2	0	161	0	52	0	0	0	0	13	102	0	0	0	0
OTU_71	0	0	0	0	0	0	0	0	0	8	0	0	111	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	85	0	12	0	411	0	69	0	7338	0	0	0	4	0	0	0
OTU_600	0	0	0	58	0	1	0	0	0	0	1	3	7	47	13	0	1	0	166	2	1	2	47	0	243	0	1	0	0	3	15	2	11	1	1	0	1	0	0	13	8	15	0	0	0	0	0	0
OTU_725	0	0	0	0	0	0	0	0	0	1	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	48	0	0	0	35	0	0	0	0	0	0	0
OTU_889	0	0	0	0	0	0	5	0	0	3	15	0	0	1	26	0	0	18	0	0	15	0	0	0	0	0	0	0	0	0	4	7	9	59	0	0	3	0	0	0	13	0	51	0	0	0	0	0
OTU_815	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0
OTU_258	25	91	0	3	0	19	59	0	6	1	10	2	1	1	14	208	0	13	0	0	14	19	1	310	6	28	0	50	0	1	5	284	1	3	0	0	0	179	1	0	1	13	15	0	1	4	0	0
OTU_533	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	86	0	0	1	0	10	0	58	0	0	0	0	0	0	0	26	0	0	121	76
OTU_180	141	900	0	0	66	9	339	5	0	42	3	0	1	0	0	95	0	3	0	0	33	0	0	779	0	5	0	0	0	0	0	16	1	0	30	0	11	102	258	0	5	0	0	0	21	29	45	6
OTU_502	0	1	0	2	0	71	0	0	0	0	41	0	20	13	52	0	0	6	0	1	422	59	3	52	8	0	0	11	0	0	9	66	8	3	0	0	15	0	0	0	9	0	11	0	0	0	0	0
OTU_4556	0	0	0	73	0	0	0	0	0	0	1	6	3	102	0	0	15	0	1	1	1	0	146	0	42	0	20	0	0	8	2	0	2	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0
OTU_447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	64	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0
OTU_348	7	134	110	1	0	31	46	10	22	17	4	8	1	0	6	38	3	0	0	0	73	4	0	400	0	217	1	47	0	0	0	8	21	0	11	0	83	94	2	0	7	0	0	0	26	15	0	0
OTU_241	0	67	0	0	0	2	0	0	0	0	16	0	14	0	326	0	0	12	0	0	33	351	0	0	0	0	0	0	0	0	199	80	23	0	1	0	22	0	0	0	14	0	130	0	0	0	0	0
OTU_785	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	310	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_227	2	6	8	0	0	0	6	3	0	0	9	6	2	0	0	172	23	0	0	6	1	0	0	608	0	401	0	0	0	0	0	3	4	0	0	0	0	216	0	2	0	15	0	0	0	7	0	0
OTU_524	0	0	0	0	0	66	0	0	0	0	29	0	150	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	27	114	0	0	0	462	0	0	0	139	0	0	0	13	0	0	0
OTU_1234	0	0	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0
OTU_598	0	0	0	40	0	0	0	0	0	0	0	0	0	27	0	0	7	0	7	10	0	0	35	0	183	0	53	0	0	14	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0
OTU_299	0	4	92	12	0	0	0	0	0	5	1	88	0	8	0	0	274	0	7	11	1	0	187	75	17	0	42	0	0	13	0	10	33	0	0	0	1	0	0	15	5	29	0	0	2	0	0	0
OTU_773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	201	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
OTU_759	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_352	3	24	0	0	0	1	13	16	0	5	5	71	2	1	0	37	59	0	2	10	2	0	0	114	0	19	3	2	0	12	0	0	8	0	2	0	2	119	8	2	5	239	0	0	2	5	0	0
OTU_380	0	35	0	1	0	0	0	0	0	0	2	1	7	0	19	0	0	0	0	0	42	13	0	0	0	0	1	0	0	0	5	0	64	0	0	0	2	0	0	0	21	0	0	0	464	0	0	0
OTU_619	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
OTU_595	2	16	7	0	0	7	6	17	0	0	1	0	2	0	23	42	1	4	0	0	16	14	0	6	0	0	0	217	14	0	6	11	1	0	2	14	1	61	6	0	0	4	7	0	0	0	0	0
OTU_478	0	11	0	23	0	6	0	12	0	0	0	2	20	25	0	3	28	0	8	17	1	0	93	0	46	0	33	37	0	12	9	1	15	0	29	0	3	0	0	5	7	5	0	0	6	0	0	0
OTU_650	0	0	0	1	0	3	0	0	0	0	5	0	2	0	173	0	0	26	0	0	6	190	2	0	1	0	0	0	0	0	144	9	0	33	0	0	0	0	0	0	0	0	12	0	0	0	0	0
OTU_331	0	0	0	0	0	0	0	0	0	0	1	0	21	0	288	0	0	34	1	0	0	243	1	0	0	0	0	0	0	0	210	0	38	0	0	0	5	0	0	0	2	0	20	0	0	0	0	0
OTU_487	4	25	0	9	0	12	11	0	0	0	109	6	0	6	0	31	30	0	4	0	31	0	40	0	43	0	14	0	0	1	0	175	0	0	0	0	0	6	0	0	0	1	0	0	9	0	0	0
OTU_354	0	0	0	0	0	15	0	0	0	0	10	0	26	1	53	0	0	24	0	0	17	42	0	0	0	0	0	0	0	0	44	4	20	416	2	0	24	0	0	0	26	0	92	0	2	0	0	0
OTU_581	0	0	0	1	0	0	0	0	0	0	0	39	0	0	0	0	46	0	98	0	0	0	28	0	178	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	452	0	0	0	0	0	0
OTU_309	0	0	0	13	0	0	0	0	0	0	0	4	0	53	0	0	0	0	6	22	0	0	1422	0	22	0	130	0	0	7	0	0	9	0	0	0	1	0	0	86	0	0	0	0	0	0	0	0
OTU_555	0	1	0	12	0	2	0	0	0	1	3	1	5	25	26	0	0	0	1	2	4	12	20	0	31	0	1	0	0	8	29	2	22	0	0	0	4	0	0	19	107	0	15	0	0	0	0	0
OTU_364	0	5	0	0	0	0	17	2	0	0	0	4	0	1	7	19	23	0	3	1	0	12	0	46	0	0	0	0	4	0	0	4	0	0	6	267	0	7	0	0	0	216	0	185	0	0	0	0
OTU_423	6	4	0	0	0	108	0	0	0	5	37	0	19	0	45	0	0	0	0	0	40	216	0	0	0	0	0	0	0	0	46	41	23	0	5	0	15	0	8	0	30	0	12	0	0	0	0	0
OTU_395	0	0	0	4	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	836	0	0	0	24	0	0	0	10	0	0	0	1	0	0	0
OTU_592	23	118	1	0	0	58	64	0	0	8	79	0	4	0	6	22	0	3	1	0	83	2	0	20	0	1	4	0	0	0	1	60	38	8	8	0	6	6	0	1	36	0	0	0	9	8	0	0
OTU_251	0	0	23	235	0	0	0	0	0	62	8	0	25	3	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	1026	0	3	0	357	0	0	9	1	0	0	0	5	0	0	0
OTU_747	0	0	0	0	0	28	4	0	0	0	25	0	2	0	113	0	0	0	0	0	23	47	0	0	0	0	0	0	0	0	23	18	4	28	0	0	1	0	0	0	2	0	0	0	0	0	0	0
OTU_672	0	0	0	8	0	0	0	0	0	0	3	0	95	5	70	0	1	0	0	0	0	30	10	0	2	0	5	0	0	1	6	2	132	11	0	0	48	0	0	0	11	0	0	0	0	0	0	0
OTU_203	23	9	34	0	0	3	0	9	5	13	1	23	3	0	13	25	0	0	0	0	20	12	0	39	0	0	0	0	329	2	2	44	6	0	7	559	2	0	0	0	5	3	5	220	4	4	151	145
OTU_361	0	7	1	3	0	29	0	0	0	0	16	0	36	8	92	0	0	17	0	0	61	102	1	0	2	0	0	0	0	0	73	29	29	397	0	0	65	0	0	0	29	0	129	0	5	0	0	0
OTU_870	5	1	0	0	0	0	0	0	0	0	1	0	0	1	9	88	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	54	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
OTU_349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	13	0	0	0	0	0	1	0	0	13	0	0	701	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_854	2	21	0	0	0	2	24	0	0	16	0	0	5	0	0	0	0	77	0	0	1	2	0	0	0	0	0	0	1	0	0	0	9	0	13	5	9	0	13	0	5	0	0	25	2	3	4	0
OTU_931	0	0	0	10	0	9	0	0	0	0	15	0	92	7	0	0	0	0	0	0	21	0	6	0	2	0	0	0	0	0	0	5	103	0	0	0	56	0	0	0	15	0	0	0	1	0	0	0
OTU_617	0	0	0	0	0	10	4	0	0	0	16	0	2	0	120	0	0	46	0	0	28	36	0	0	0	0	0	0	0	0	56	24	3	55	6	0	0	0	0	0	2	0	34	0	0	0	0	0
OTU_594	0	4	0	1	0	3	0	0	0	0	3	0	4	3	21	0	0	0	0	0	11	6	1	0	0	0	0	0	0	0	7	0	11	0	0	0	51	0	0	0	42	0	0	0	165	0	0	0
OTU_1025	0	0	0	0	0	2	4	0	0	0	14	0	6	0	157	0	0	2	0	0	0	105	0	0	0	0	0	0	0	0	89	2	2	3	0	0	1	0	0	0	3	0	7	0	0	0	0	0
OTU_625	0	0	13	0	0	0	0	0	0	5	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	11	0	10	0	1	0	3	0	0	0	1	0	0	0
OTU_1546	0	4	0	0	0	1	89	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
OTU_437	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	637	0	0	0	2	0	0	0	0	0	0
OTU_526	16	0	0	45	0	6	0	0	0	0	71	58	72	12	50	0	8	6	23	16	31	62	21	0	81	0	1	0	0	1	43	76	85	23	5	0	45	0	0	9	30	26	0	0	0	0	21	0
OTU_219	0	0	0	222	0	0	0	0	0	0	0	10	0	329	0	0	31	0	17	51	0	0	297	0	348	0	30	0	0	33	0	0	0	0	0	0	0	0	0	25	0	10	0	0	0	0	0	0
OTU_789	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_363	51	115	0	0	0	1	53	0	0	4	3	3	3	1	9	8	4	5	0	0	8	10	0	0	0	0	0	8	205	0	4	10	5	2	3	345	14	0	123	0	1	2	0	264	34	5	3	9
OTU_293	52	256	0	33	0	9	252	0	0	0	28	0	0	22	0	0	1	0	1	5	214	0	22	0	60	0	9	0	0	22	0	0	3	0	0	0	0	0	0	13	5	0	0	0	0	0	0	0
OTU_313	0	63	0	0	0	410	6	0	0	0	16	0	5	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_560	0	13	0	0	0	131	1	0	0	0	71	0	1	0	5	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	2	30	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU_320	0	0	0	0	0	0	0	0	0	0	5	0	0	1	142	0	0	150	0	0	5	82	0	0	0	0	0	0	0	0	83	5	2	281	0	0	0	0	0	0	9	0	160	0	0	0	0	0
OTU_604	0	0	0	4	0	7	0	0	0	0	2	95	0	12	1	139	0	6	0	0	43	1	6	0	3	10	0	0	0	3	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_439	2	4	0	0	0	9	0	0	0	0	8	0	3	1	236	0	0	13	0	0	21	116	0	0	1	0	0	0	0	0	138	26	8	24	0	0	0	0	0	0	11	0	3	0	0	0	0	0
OTU_607	0	0	0	95	0	0	0	0	0	0	0	3	0	14	0	0	0	0	3	0	0	0	0	0	224	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0
OTU_1497	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	68	0
OTU_709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_800	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_563	0	493	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_568	0	24	0	0	0	4	0	0	0	0	2	0	3	0	120	0	0	0	0	0	13	212	0	0	0	0	0	0	0	0	179	2	1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0
OTU_5421	0	0	0	137	0	0	0	0	0	0	0	2	0	30	0	0	0	0	2	3	0	0	2	0	103	0	0	0	0	1	0	0	1	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0
OTU_1172	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU_938	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1059	0	1	0	0	0	40	0	0	0	0	9	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_965	0	0	14	0	0	0	0	0	0	0	0	9	0	0	0	0	8	0	3	13	0	0	0	31	0	8	0	0	0	6	3	0	0	0	0	19	0	0	0	1	0	125	0	0	0	0	0	0
OTU_400	0	14	0	0	0	47	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	60	0	148	0	0	0	0	0	65	0	0	0	0	0	81	0	0	0	0	0	0	0	5	0	0
OTU_1221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	49	0	0	0	0	0	0	0	0	6	0	0	0	0	0
OTU_278	4	0	0	7	0	0	0	0	0	20	2	0	809	2	0	0	0	0	1	10	0	0	5	0	7	0	0	0	0	1	0	18	228	0	189	0	270	0	0	5	21	1	0	0	2	0	0	0
OTU_1160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	122	2	0	0	0	0	0	0	0	0
OTU_84	0	0	20	111	0	0	0	438	49	2	1	16	63	0	0	0	65	0	0	4183	0	0	2054	0	41	0	13	40	0	0	0	0	1	0	22	1	11	0	96	41	72	58	0	0	4	0	0	0
OTU_711	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	14	0	0	0	20	0	0	0	1	0	0	0
OTU_751	0	0	0	1	0	9	0	0	0	0	8	1	7	2	62	0	0	47	0	0	12	44	1	0	1	0	0	0	0	0	38	39	4	37	0	0	0	0	0	0	2	0	16	0	0	0	0	0
OTU_479	0	0	0	774	0	0	0	0	0	0	0	0	0	8	0	0	0	0	3	8	0	0	28	0	12	0	52	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0
OTU_506	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	436	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_659	14	0	3	0	0	0	0	47	1	3	0	0	9	0	0	178	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	15	0	8	0	16	0	0	0	0	0	0	0	0	0
OTU_514	0	0	0	0	0	1	0	0	0	0	0	0	0	0	434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_519	0	2	0	0	0	4	0	0	0	0	5	0	0	0	116	0	0	20	0	0	2	62	0	0	0	0	0	0	0	0	135	5	11	15	0	0	2	0	0	0	3	0	34	0	0	1	0	0
OTU_621	0	267	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	97	33	86	0	0	0	28	0	0	0	44	0	0	0	0	0	0	0
OTU_13	1	0	1	94	0	0	0	3	188	17	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	54216	0	0	0	2	0	0	1	1	138	0	62	1	89	1	0	0	3	0	0	0
OTU_740	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	84	0	0	0	20	0	0	0	0	0	0	0	0	9	1	2	143	1	0	0	0	0	0	3	0	74	0	0	0	0	0
OTU_374	0	6	0	156	0	4	0	0	0	0	0	0	1	29	0	0	24	0	0	0	61	0	354	0	22	0	9	0	0	22	0	0	73	0	0	0	2	0	0	14	0	0	0	0	0	0	0	0
OTU_1528	0	0	0	0	0	1	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_273	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	411	0	0	0	1	0	498	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	25	0	0	0
OTU_790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_702	0	0	0	6	0	8	0	0	0	0	0	1	0	0	0	0	188	0	0	13	0	0	19	0	1	0	2	0	0	5	0	0	0	0	0	0	0	0	0	3	0	21	0	0	0	0	0	0
OTU_456	0	0	0	0	0	0	0	0	0	6	0	0	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_414	0	0	0	12	0	0	0	0	0	1	0	2	2	3	5	0	9	0	12	1	0	0	7	0	4	0	13	0	276	33	0	0	0	0	2	256	0	0	1	41	1	6	0	95	0	0	0	0
OTU_1081	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_754	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_727	72	26	0	0	0	2	33	0	8	12	0	148	1	0	0	0	0	0	2	0	0	0	0	34	0	0	1	0	0	3	0	2	8	0	4	0	1	0	0	1	26	0	0	0	29	0	0	0
OTU_353	0	2	0	0	0	0	0	0	0	8	0	0	24	5	35	0	0	87	5	0	0	53	13	0	5	0	0	0	0	0	8	0	46	354	34	0	11	0	0	0	50	2	91	0	22	12	5	0
OTU_636	12	100	0	0	0	7	121	1	0	0	4	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0	6	0	0	17	0	0	4	0	15	0	3	0	1	0	0	0	3	23	0	0
OTU_835	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	42	0	92	0	0	0	0	0	15	0	0	0	0	0	0	0
OTU_481	45	11	0	0	0	10	4	0	0	34	86	0	104	0	0	8	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	22	106	0	25	0	11	0	0	0	17	0	0	0	1	16	0	0
OTU_992	0	0	0	4	0	0	0	0	0	0	0	0	36	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	132	0	0	0	31	0	0	0	11	0	0	0	0	0	0	0
OTU_1075	0	0	2	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	10	0	1	0	0	0	0	0	0	0	0	1	83	0	0	0	0	0	0	0	0	0	0
OTU_681	1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	241	2	5	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU_509	0	0	0	29	0	35	3	0	0	0	41	6	80	35	47	0	6	7	2	0	56	23	63	0	14	0	6	0	0	1	23	56	46	9	5	0	118	0	0	0	37	0	0	0	0	1	0	0
OTU_1192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	91	0	0	0	0	0
OTU_629	26	211	174	0	0	8	60	21	12	30	4	0	21	0	0	93	0	1	0	0	29	0	0	359	0	53	0	7	0	0	0	6	26	0	29	0	10	29	44	0	12	0	0	0	23	15	0	0
OTU_640	3	21	0	0	0	4	0	0	0	0	10	0	4	0	0	0	0	0	0	0	28	0	0	0	19	0	0	0	0	0	0	11	4	0	0	0	220	0	0	0	2	0	0	0	0	0	0	0
OTU_535	0	4	0	0	0	0	0	0	0	0	5	0	66	2	34	0	0	0	0	0	6	0	0	0	3	0	1	0	0	0	13	0	158	0	0	0	89	0	0	2	20	0	0	0	0	0	0	0
OTU_4497	0	0	0	0	0	0	0	0	0	0	0	0	355	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0
OTU_649	0	0	0	208	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	3	5	0	54	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_1592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	28	0	0	0	0	0
OTU_680	3	143	0	0	0	7	159	0	0	0	14	0	0	0	0	2	0	0	0	0	13	0	0	83	0	5	0	0	0	0	0	6	0	0	0	0	0	23	0	0	0	0	0	0	0	18	0	0
OTU_899	0	0	0	25	0	0	0	0	0	0	0	4	0	2	0	0	139	0	0	2	0	0	57	0	2	0	15	0	0	3	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0
OTU_844	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_723	0	4	0	0	0	49	0	0	0	0	65	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	15	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
OTU_631	0	0	1	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	2	1	7	0	28	0	0	0	18
OTU_956	0	0	0	3	0	0	0	0	0	1	1	1	1	7	99	0	0	8	0	0	0	90	5	0	1	0	0	0	0	0	54	5	17	0	0	0	0	0	0	0	5	0	38	0	0	0	0	0
OTU_332	0	37	0	0	0	0	4	0	0	0	133	0	0	0	0	0	0	0	0	0	789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_758	11	6	0	0	0	2	36	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_428	0	0	0	0	0	0	0	5	239	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	1	0	24	0	0	0	17	0	28	0	0	0	181	0	0	0
