Strain	Condition	Fresh_weight	Mean_MF	Relative_to_MF																							
Variovorax_411	BF	0		0																							
Variovorax_411	BF	0		0																							
Variovorax_411	BF	0		0																							
Variovorax_411	BF	0		0																							
Variovorax_411	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_562	BF	0		0																							
Pseudomonas_569	BF	0.0005		0.053373185																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_569	BF	0		0																							
Pseudomonas_68	BF	0.0341		3.640051238																							
Pseudomonas_68	BF	0.0165		1.761315115																							
Pseudomonas_68	BF	0.0062		0.661827498																							
Pseudomonas_68	BF	0.034		3.629376601																							
Pseudomonas_68	BF	0.0181		1.932109308																							
Pseudomonas_68	BF	0.0234		2.497865073																							
Pseudomonas_68	BF	0.0163		1.739965841																							
Pseudomonas_68	BF	0.009		0.960717336																							
Pseudomonas_68	BF	0.0069		0.736549957																							
Pseudomonas_68	BF	0.0081		0.864645602																							
Pseudomonas_68	BF	0.0098		1.046114432																							
Pseudomonas_68	BF	0		0																							
Pseudomonas_68	BF	0		0																							
Pseudomonas_68	BF	0		0																							
Pseudomonas_68	BF	0		0																							
Pseudomonas_68	BF	0		0																							
Pseudomonas_68	BF	0		0																							
Pseudomonas_68	BF	0		0																							
Pseudomonas_68	BF	0		0																							
Knoellia_729	BF	0.0022		0.234842015																							
Knoellia_729	BF	0.0019		0.202818104																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Knoellia_729	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_275	BF	0		0																							
Acidovorax_70	BF	0.0007		0.074722459																							
Acidovorax_70	BF	0.0003		0.032023911																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Acidovorax_70	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Tetrasphaera_756	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Acidovorax_217	BF	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
Fungi	F	0		0																							
