Condition	Freshweight	Relative_to_MF	Normalized_to_bacteria	Experiment
BF-Pseudo	0.0158	1.14992722	0.72858606	BIO2
BF-Pseudo	0.0101	0.735080058	0.465741722	BIO2
BF-Pseudo	0.0219	1.593886463	1.009875615	BIO2
BF-Pseudo	0.0092	0.669577875	0.424239984	BIO2
BF-Pseudo	0.0302	2.197962154	1.392613861	BIO2
BF-Pseudo	0.0179	1.302765648	0.825423447	BIO2
BF-Pseudo	0.0157	1.142649199	0.723974756	BIO2
BF-Pseudo	0.0155	1.128093159	0.714752147	BIO2
BF-Comm-Pseudo	0.0101	0.735080058	0.498754323	BIO2
BF-Comm-Pseudo	0.0054	0.3930131	0.266660727	BIO2
BF-Comm-Pseudo	0.0033	0.240174672	0.162959333	BIO2
BF-Comm-Pseudo	0.0019	0.138282387	0.093825071	BIO2
BF-Comm-Pseudo	0.0044	0.320232897	0.217279111	BIO2
BF-Comm-Pseudo	0.015	1.091703057	0.740724241	BIO2
BF-Comm-Pseudo	0.011	0.800582242	0.543197777	BIO2
BF-Comm-Pseudo	0.0029	0.211062591	0.143206687	BIO2
BF-Comm-Pseudo	0.0179	1.302765648	0.883930928	BIO2
BF-Comm-Pseudo	0.0143	1.040756914	0.70615711	BIO2
BF-Comm-Pseudo	0.0078	0.56768559	0.385176606	BIO2
BF-Comm-Pseudo	0.0187	1.360989811	0.923436221	BIO2
BF-Comm-Pseudo	0.0218	1.586608443	1.076519231	BIO2
BF-Comm-Pseudo	0.0132	0.96069869	0.651837332	BIO2
BF-Comm-Pseudo	0.0126	0.917030568	0.622208363	BIO2
BF-Comm-Pseudo	0.0177	1.288209607	0.874054605	BIO2
BF-Comm-Pseudo	0.0072	0.524017467	0.355547636	BIO2
BF-Comm-Pseudo	0.003	0.218340611	0.148144848	BIO2
BF-Comm-Pseudo	0.0038	0.276564774	0.187650141	BIO2
BF-Comm-Pseudo	0.0046	0.334788937	0.227155434	BIO2
